event_starttime,event_peaktime,event_endtime,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,hpc_coord,hpc_bbox,hpc_radius,hv_hpc_x_final,hv_hpc_y_final,hv_labels_formatted,frm_name,obs_observatory,obs_instrument,obs_channelid,frm_url,event_type,fl_peakflux,fl_peakfluxunit
2014-01-07 18:04:00,2014-01-07T18:32:00,2014-01-07 18:58:00,-90.0,90.0,-90.0,90.0,POINT(0 64.4322),"POLYGON((0.000085 -973.38,-0.000085 -973.38,0 972.774,0 972.774,0.000085 -973.38))",64.43220000000001,4.362209920081638,63.392653896146136,{'GOES Class': 'X1.2'},SWPC,GOES,GOES,XRA,http://www.swpc.noaa.gov/,FL,,
2014-01-07 17:30:35,2014-01-07T18:20:00,2014-01-08 03:30:35,-1377.0,1374.0,-1227.0,1229.0,POINT(-1 1),"POLYGON((-1377 -1227,1374 -1227,1374 1229,-1377 1229,-1377 -1227))",1.4142135623730951,8.55858109272782,1.0597575708571922,[],slater,SDO,HEK,FL,,FL,,
2014-01-07 17:30:35,2014-01-07T18:20:00,2014-01-08 03:30:35,-1377.0,1374.0,-1227.0,1229.0,POINT(-1 1),"POLYGON((-1377 -1227,1374 -1227,1374 1229,-1377 1229,-1377 -1227))",1.4142135623730951,8.55858109272782,1.0597575708571922,[],slater,SDO,AIA,193,,FL,,
2014-01-07 17:30:35,2014-01-07T18:20:00,2014-01-08 03:30:35,-1377.0,1374.0,-1227.0,1229.0,POINT(-1 1),"POLYGON((-1377 -1227,1374 -1227,1374 1229,-1377 1229,-1377 -1227))",1.4142135623730951,8.55858109272782,1.0597575708571922,[],slater,SDO,HMI,6173,,FL,,
2014-01-07 17:30:35,2014-01-07T18:20:00,2014-01-08 03:30:35,-1377.0,1374.0,-1227.0,1229.0,POINT(-1 1),"POLYGON((-1377 -1227,1374 -1227,1374 1229,-1377 1229,-1377 -1227))",1.4142135623730951,8.55858109272782,1.0597575708571922,[],slater,SDO,AIA,171,,FL,,
2014-01-07 18:03:22,2014-01-07T18:25:58,2014-01-07 19:30:46,-153.6,307.2,-230.4,0.0,POINT(-38.4 -38.4),"POLYGON((-153.6 -230.4,307.2 -230.4,307.2 0,-153.6 0,-153.6 -230.4))",54.30580079512685,-33.333979114710786,-37.71194697686831,{'Peak Flux': '483.6 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,483.597,DN/sec/pixel
2014-01-07 18:05:34,2014-01-07T18:34:46,2014-01-07 19:48:58,76.8,384.0,-230.4,-76.8,POINT(268.8 -115.2),"POLYGON((76.8 -230.4,384 -230.4,384 -76.8,76.8 -76.8,76.8 -230.4))",292.44568726517406,268.18090447417364,-113.3198063236936,{'Peak Flux': '3004.5 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,131,http://www.cfa.harvard.edu,FL,3004.52,DN/sec/pixel
2014-01-07 18:06:00,2014-01-07T18:54:00,2014-01-07 21:47:12,-76.8,307.2,-230.4,-76.8,POINT(38.4 -115.2),"POLYGON((-76.8 -230.4,307.2 -230.4,307.2 -76.8,-76.8 -76.8,-76.8 -230.4))",121.43146215046576,41.71669266983756,-113.25606053086294,{'Peak Flux': '3456.2 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,171,http://www.cfa.harvard.edu,FL,3456.19,DN/sec/pixel
2014-01-07 18:06:01,2014-01-07T18:55:50,2014-01-07 21:39:01,153.6,307.2,-230.4,-76.8,POINT(192 -115.2),"POLYGON((153.6 -230.4,307.2 -230.4,307.2 -76.8,153.6 -76.8,153.6 -230.4))",223.90855276205957,192.67452955227265,-113.29786829126586,{'Peak Flux': '2067.9 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,211,http://www.cfa.harvard.edu,FL,2067.9,DN/sec/pixel
2014-01-07 18:06:07,2014-01-07T18:57:07,2014-01-07 21:37:31,153.6,307.2,-230.4,-76.8,POINT(192 -115.2),"POLYGON((153.6 -230.4,307.2 -230.4,307.2 -76.8,153.6 -76.8,153.6 -230.4))",223.90855276205957,192.6596138194641,-113.29779120613878,{'Peak Flux': '5060.4 DN/sec/pixel'},Flare Detective - Trigger Module,SDO,AIA,193,http://www.cfa.harvard.edu,FL,5060.39,DN/sec/pixel
